rawfile_name,rawfile_id,sample_id,rawfile_name_R,sample,run_type,DilutionConcentration,batch,RunOrder,ome_id,keep,timestamp
20240721_SIA_Batch2_57.raw,950,56,X20240721_SIA_Batch2_57.raw,57,Sample,NA,2,5,2,1,00:56.8
20240721_SIA_Batch2_65.raw,956,63,X20240721_SIA_Batch2_65.raw,65,Sample,NA,2,29,2,1,13:03.3
20240721_SIA_Batch2_93.raw,980,91,X20240721_SIA_Batch2_93.raw,93,Sample,NA,2,33,2,1,10:03.4
20240721_SIA_Batch2_Control_rep1.raw,1209,-1,X20240721_SIA_Batch2_Control_rep1.raw,Blank,QcRep,NA,2,1,2,1,03:58.4
20240721_SIA_Batch2_Control_rep2.raw,1219,-1,X20240721_SIA_Batch2_Control_rep2.raw,Blank,QcRep,NA,2,8,2,1,47:58.8
20240721_SIA_Batch2_Control_rep3.raw,1229,-1,X20240721_SIA_Batch2_Control_rep3.raw,Blank,QcRep,NA,2,19,2,1,30:50.5
20240721_SIA_Batch2_Control_rep4.raw,1239,-1,X20240721_SIA_Batch2_Control_rep4.raw,Blank,QcRep,NA,2,28,2,1,13:38.4
20240721_SIA_Batch2_Control_rep5.raw,1249,-1,X20240721_SIA_Batch2_Control_rep5.raw,Blank,QcRep,NA,2,37,2,1,05:53.6
20240721_SIA_Batch2_H2.raw,1277,289,X20240721_SIA_Batch2_H2.raw,H2,Sample,NA,2,6,2,1,59:44.6
20240721_SIA_Batch2_H26.raw,1284,313,X20240721_SIA_Batch2_H26.raw,H26,Sample,NA,2,9,2,1,47:23.7
20240721_SIA_Batch2_H5.raw,1287,292,X20240721_SIA_Batch2_H5.raw,H5,Sample,NA,2,17,2,1,42:36.3
20240721_SIA_Batch2_NC14.raw,1293,394,X20240721_SIA_Batch2_NC14.raw,NC14,Sample,NA,2,16,2,1,43:11.5
20240723_SIA_Batch3_1011.raw,999,111,X20240723_SIA_Batch3_1011.raw,1011,Sample,NA,3,63,2,1,17:07.8
20240723_SIA_Batch3_1014.raw,1001,114,X20240723_SIA_Batch3_1014.raw,1014,Sample,NA,3,54,2,1,33:49.2
20240723_SIA_Batch3_1033.raw,1016,133,X20240723_SIA_Batch3_1033.raw,1033,Sample,NA,3,55,2,1,33:14.1
20240723_SIA_Batch3_1040_2.raw,1150,335,X20240723_SIA_Batch3_1040_2.raw,1140.2,Sample,NA,3,73,2,1,00:33.2
20240723_SIA_Batch3_1072.raw,1046,171,X20240723_SIA_Batch3_1072.raw,1072,Sample,NA,3,42,2,1,51:28.8
20240723_SIA_Batch3_1098.raw,1063,197,X20240723_SIA_Batch3_1098.raw,1098,Sample,NA,3,51,2,1,35:34.8
20240723_SIA_Batch3_1107.raw,1071,206,X20240723_SIA_Batch3_1107.raw,1107,Sample,NA,3,49,2,1,36:45.2
20240723_SIA_Batch3_1108_2.raw,1155,340,X20240723_SIA_Batch3_1108_2.raw,1108.2,Sample,NA,3,40,2,1,52:36.9
20240723_SIA_Batch3_1115.raw,1077,214,X20240723_SIA_Batch3_1115.raw,1115,Sample,NA,3,39,2,1,NA
20240723_SIA_Batch3_1117.raw,1079,216,X20240723_SIA_Batch3_1117.raw,1117,Sample,NA,3,60,2,1,18:55.2
20240723_SIA_Batch3_1119_2.raw,1165,350,X20240723_SIA_Batch3_1119_2.raw,1119.2,Sample,NA,3,45,2,1,49:43.2
20240723_SIA_Batch3_1122.raw,1084,221,X20240723_SIA_Batch3_1122.raw,1122,Sample,NA,3,74,2,1,59:56.0
20240723_SIA_Batch3_1124.raw,1085,223,X20240723_SIA_Batch3_1124.raw,1124,Sample,NA,3,56,2,1,32:37.0
20240723_SIA_Batch3_1129_2.raw,1172,357,X20240723_SIA_Batch3_1129_2.raw,1129.2,Sample,NA,3,72,2,1,01:08.5
20240723_SIA_Batch3_1133.raw,1094,232,X20240723_SIA_Batch3_1133.raw,1133,Sample,NA,3,57,2,1,31:59.8
