rawfile_id,timestamp,rawfile_name,sample_id,run_type,keep,batch,ome_id,Sample
494,1720256279.02079,20240704_WFB_Plate_06_1099_NPA,198,Sample,1,6,1,1099
495,1720260048.50718,20240704_WFB_Plate_06_1125_NPA,224,Sample,1,6,1,1125
496,1720263816.09873,20240704_WFB_Plate_06_NC12_NPA,392,Sample,1,6,1,NC12
497,1720267584.49314,20240704_WFB_Plate_06_1018_NPA,118,Sample,1,6,1,1018
498,1720271357.93268,20240704_WFB_Plate_06_1150_NPA,248,Sample,1,6,1,1150
499,1720274803.85157,20240704_WFB_Plate_06_QC_03,-1,QC,1,6,1,QC
500,1720278567.71886,20240704_WFB_Plate_06_1183_NPB,281,Sample,1,6,1,1183
501,1720282333.48001,20240704_WFB_Plate_06_1129_NPB,228,Sample,1,6,1,1129
502,1720286101.64762,20240704_WFB_Plate_06_86_NPB,84,Sample,1,6,1,86
503,1720289868.86935,20240704_WFB_Plate_06_58_NPB,57,Sample,1,6,1,58
504,1720293634.75089,20240704_WFB_Plate_06_1036_NPB,136,Sample,1,6,1,1036
505,1720297398.15495,20240704_WFB_Plate_06_1167_NPB,265,Sample,1,6,1,1167
506,1720301164.49515,20240704_WFB_Plate_06_54_NPB,53,Sample,1,6,1,54
507,1720304929.82639,20240704_WFB_Plate_06_1138-2_NPB,362,Sample,1,6,1,1138.2
508,1720308695.75402,20240704_WFB_Plate_06_1110-2_NPB,342,Sample,1,6,1,1110.2
509,1720312461.38924,20240704_WFB_Plate_06_1085_NPB,184,Sample,1,6,1,1085
510,1720316228.47481,20240704_WFB_Plate_06_1135-2_NPB,359,Sample,1,6,1,1135.2
511,1720319992.10529,20240704_WFB_Plate_06_1141-2_NPB,363,Sample,1,6,1,1141.2
512,1720323760.25173,20240704_WFB_Plate_06_51_NPB,50,Sample,1,6,1,51
513,1720327528.07315,20240704_WFB_Plate_06_NC3_NPB,383,Sample,1,6,1,NC3
514,1720331293.64958,20240704_WFB_Plate_06_1158_NPB,256,Sample,1,6,1,1158
515,1720335060.22597,20240704_WFB_Plate_06_1088_NPB,187,Sample,1,6,1,1088
516,1720338829.91212,20240704_WFB_Plate_06_H9_NPB,296,Sample,1,6,1,H9
517,1720342599.34326,20240704_WFB_Plate_06_1128_NPB,227,Sample,1,6,1,1128
518,1720346365.0334,20240704_WFB_Plate_06_22_NPB,21,Sample,1,6,1,22
519,1720350132.66902,20240704_WFB_Plate_06_1148-2_NPB,369,Sample,1,6,1,1148.2
520,1720353577.12359,20240704_WFB_Plate_06_QC_04,-1,QC,1,6,1,QC
521,1720357346.99498,20240704_WFB_Plate_06_7_NPB,7,Sample,1,6,1,7
522,1720361112.76336,20240704_WFB_Plate_06_1095_NPB,194,Sample,1,6,1,1095
523,1720364880.45141,20240704_WFB_Plate_06_16_NPB,15,Sample,1,6,1,16
524,1720368645.78686,20240704_WFB_Plate_06_1119_NPB,218,Sample,1,6,1,1119
525,1720372413.49435,20240704_WFB_Plate_06_1034_NPB,134,Sample,1,6,1,1034
526,1720376181.72986,20240704_WFB_Plate_06_2009-56_NPB,323,Sample,1,6,1,2009.56
527,1720379949.04194,20240704_WFB_Plate_06_1042_NPB,142,Sample,1,6,1,1042
528,1720383715.80717,20240704_WFB_Plate_06_42_NPB,41,Sample,1,6,1,42
529,1720387480.97484,20240704_WFB_Plate_06_94_NPB,92,Sample,1,6,1,94
530,1720391246.59852,20240704_WFB_Plate_06_8_NPB,8,Sample,1,6,1,8
531,1720395016.13987,20240704_WFB_Plate_06_H23_NPB,310,Sample,1,6,1,H23
532,1720398784.22228,20240704_WFB_Plate_06_2011-101_NPB,325,Sample,1,6,1,2011.101
533,1720402553.35865,20240704_WFB_Plate_06_1083_NPB,182,Sample,1,6,1,1083
