rawfile_name_R,rawfile_name,rawfile_id,sample_id,sample,run_type,DilutionConcentration,batch,ome_id,keep,timestamp
X20240723_SIA_Batch3_88.raw,20240723_SIA_Batch3_88.raw,975,86,88,Sample,NA,3,2,1,48:32.6
X20240723_SIA_Batch3_99.raw,20240723_SIA_Batch3_99.raw,984,97,99,Sample,NA,3,2,1,03:32.8
X20240723_SIA_Batch3_Control_rep1.raw,20240723_SIA_Batch3_Control_rep1.raw,1210,-1,Blank,QcRep,NA,3,2,1,53:47.2
X20240723_SIA_Batch3_Control_rep2.raw,20240723_SIA_Batch3_Control_rep2.raw,1220,-1,Blank,QcRep,NA,3,2,1,37:22.1
X20240723_SIA_Batch3_Control_rep3.raw,20240723_SIA_Batch3_Control_rep3.raw,1230,-1,Blank,QcRep,NA,3,2,1,20:40.8
X20240723_SIA_Batch3_Control_rep4.raw,20240723_SIA_Batch3_Control_rep4.raw,1240,-1,Blank,QcRep,NA,3,2,1,04:08.0
X20240723_SIA_Batch3_Control_rep5.raw,20240723_SIA_Batch3_Control_rep5.raw,1250,-1,Blank,QcRep,NA,3,2,1,57:29.6
X20240723_SIA_Batch3_H12.raw,20240723_SIA_Batch3_H12.raw,1270,299,H12,Sample,NA,3,2,1,50:53.7
X20240723_SIA_Batch3_H13.raw,20240723_SIA_Batch3_H13.raw,1271,300,H13,Sample,NA,3,2,1,49:08.0
X20240723_SIA_Batch3_NC17.raw,20240723_SIA_Batch3_NC17.raw,1296,397,NC17,Sample,NA,3,2,1,36:10.1
X20240723_SIA_Batch3_NC5.raw,20240723_SIA_Batch3_NC5.raw,1302,385,NC5,Sample,NA,3,2,1,17:42.9
X20240725_SIA_Batch4_1005.raw,20240725_SIA_Batch4_1005.raw,993,105,1005,Sample,NA,4,2,1,41:45.3
X20240725_SIA_Batch4_1055.raw,20240725_SIA_Batch4_1055.raw,1032,154,1055,Sample,NA,4,2,1,56:14.0
X20240725_SIA_Batch4_1067.raw,20240725_SIA_Batch4_1067.raw,1041,166,1067,Sample,NA,4,2,1,25:14.7
X20240725_SIA_Batch4_1084.raw,20240725_SIA_Batch4_1084.raw,1053,183,1084,Sample,NA,4,2,1,41:08.2
X20240725_SIA_Batch4_1105.raw,20240725_SIA_Batch4_1105.raw,1069,204,1105,Sample,NA,4,2,1,NA
X20240725_SIA_Batch4_1106.raw,20240725_SIA_Batch4_1106.raw,1070,205,1106,Sample,NA,4,2,1,11:40.0
X20240725_SIA_Batch4_1130_2.raw,20240725_SIA_Batch4_1130_2.raw,1173,358,1130.2,Sample,NA,4,2,1,44:09.2
X20240725_SIA_Batch4_1131.raw,20240725_SIA_Batch4_1131.raw,1092,230,1131,Sample,NA,4,2,1,55:01.9
X20240725_SIA_Batch4_1132.raw,20240725_SIA_Batch4_1132.raw,1093,231,1132,Sample,NA,4,2,1,12:15.0
X20240725_SIA_Batch4_1136_2.raw,20240725_SIA_Batch4_1136_2.raw,1175,360,1136.2,Sample,NA,4,2,1,40:33.0
X20240725_SIA_Batch4_1139.raw,20240725_SIA_Batch4_1139.raw,1098,237,1139,Sample,NA,4,2,1,56:49.1
X20240725_SIA_Batch4_1148.raw,20240725_SIA_Batch4_1148.raw,1106,246,1148,Sample,NA,4,2,1,10:27.6
X20240725_SIA_Batch4_1151_2.raw,20240725_SIA_Batch4_1151_2.raw,1186,371,1151.2,Sample,NA,4,2,1,11:02.8
X20240725_SIA_Batch4_1153.raw,20240725_SIA_Batch4_1153.raw,1110,251,1153,Sample,NA,4,2,1,43:32.2
