"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"33","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1116_NPA.raw",6984489550,FALSE,666,2024-06-14 04:04:34.366316,2024-06-15 18:03:15.152252,2024-06-20 16:38:17.315874,"no","20240612_WFB_Plate_01_1116_NPA",36,"1116"
"79","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_NC16_NPA.raw",6830539351,FALSE,666,2024-06-14 05:06:55.90328,2024-06-15 18:00:00.44104,2024-06-20 18:22:29.045282,"no","20240612_WFB_Plate_01_NC16_NPA",37,"NC16"
"73","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_H22_NPA.raw",7116140652,FALSE,666,2024-06-14 06:09:17.716158,2024-06-15 17:56:53.818621,2024-06-20 18:09:51.412367,"no","20240612_WFB_Plate_01_H22_NPA",38,"H22"
"9","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1009_NPA.raw",6419324839,FALSE,666,2024-06-14 07:11:36.853294,2024-06-15 17:54:09.623224,2024-06-20 15:38:16.857208,"no","20240612_WFB_Plate_01_1009_NPA",39,"1009"
"59","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_5_NPA.raw",6652481321,FALSE,666,2024-06-14 08:13:55.102583,2024-06-15 17:51:18.227039,2024-06-20 17:40:15.552145,"no","20240612_WFB_Plate_01_5_NPA",40,"5"
"98","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1049_NPA.raw",6405645725,FALSE,666,2024-06-16 12:47:15.929485,2024-06-17 11:54:48.478977,2024-06-24 09:52:14.648855,"no","20240615_WFB_Plate_02_1049_NPA",41,"1049"
"142","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_27_NPA.raw",7112658021,FALSE,666,2024-06-16 13:49:35.763794,2024-06-17 11:53:47.09642,2024-06-24 11:27:07.330502,"no","20240615_WFB_Plate_02_27_NPA",42,"27"
"114","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1110_NPA.raw",6784329579,FALSE,666,2024-06-16 14:51:56.79097,2024-06-17 11:52:48.662397,2024-06-24 10:27:58.055975,"no","20240615_WFB_Plate_02_1110_NPA",43,"1110"
"118","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1142_NPA.raw",6929209236,FALSE,666,2024-06-16 15:54:22.310093,2024-06-17 11:51:49.073849,2024-06-24 10:36:25.150534,"no","20240615_WFB_Plate_02_1142_NPA",44,"1142"
"138","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1187_NPA.raw",8518867590,FALSE,666,2024-06-16 16:56:47.650534,2024-06-17 11:50:35.573307,2024-06-24 11:17:10.169498,"no","20240615_WFB_Plate_02_1187_NPA",45,"1187"
