"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"571","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1112-2_NPA.raw",9164581407,FALSE,666,2024-07-08 21:03:35.96986,2024-07-09 09:33:13.838509,2024-07-29 17:12:34.198862,"no","20240708_WFB_Plate_07_1112-2_NPA",248,"1112.2"
"553","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1043_NPA.raw",9765690350,FALSE,666,2024-07-08 22:06:25.476185,2024-07-09 09:31:50.552883,2024-07-29 16:44:21.411882,"no","20240708_WFB_Plate_07_1043_NPA",249,"1043"
"617","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_89_NPA.raw",9257718774,FALSE,666,2024-07-08 23:09:13.147055,2024-07-09 09:30:29.951778,2024-07-29 18:25:12.981148,"no","20240708_WFB_Plate_07_89_NPA",250,"89"
"621","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_H27_NPA.raw",10867468050,FALSE,666,2024-07-09 00:12:02.269695,2024-07-09 09:28:56.522913,2024-07-29 18:31:30.76379,"no","20240708_WFB_Plate_07_H27_NPA",251,"H27"
"625","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_NC8_NPA.raw",10289918073,FALSE,666,2024-07-09 01:14:53.652052,2024-07-09 09:27:25.601576,2024-07-29 18:38:24.182621,"no","20240708_WFB_Plate_07_NC8_NPA",252,"NC8"
"555","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1050-2_NPA.raw",9490933938,FALSE,666,2024-07-09 02:17:40.848782,2024-07-09 09:26:00.877348,2024-07-29 16:47:22.751797,"no","20240708_WFB_Plate_07_1050-2_NPA",253,"1050.2"
"561","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1060_NPA.raw",10164950757,FALSE,666,2024-07-09 03:20:29.97154,2024-07-09 09:24:28.760321,2024-07-29 16:56:52.262976,"no","20240708_WFB_Plate_07_1060_NPA",254,"1060"
"595","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_12_NPA.raw",10613021091,FALSE,666,2024-07-09 04:23:17.625439,2024-07-09 09:22:48.364878,2024-07-29 17:49:36.409304,"no","20240708_WFB_Plate_07_12_NPA",255,"12"
"557","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1051_NPA.raw",9702660231,FALSE,666,2024-07-09 05:26:09.288383,2024-07-09 09:21:15.622246,2024-07-29 16:50:22.378279,"no","20240708_WFB_Plate_07_1051_NPA",256,"1051"
"607","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_32_NPA.raw",11053246271,FALSE,666,2024-07-09 06:28:57.496082,2024-07-09 09:19:29.723034,2024-07-29 18:09:07.309898,"no","20240708_WFB_Plate_07_32_NPA",257,"32"
"601","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_2019-61_NPA.raw",10416000585,FALSE,666,2024-07-09 07:31:45.196651,2024-07-09 09:17:35.329861,2024-07-29 17:56:10.029282,"no","20240708_WFB_Plate_07_2019-61_NPA",258,"2019.61"
"605","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_26_NPA.raw",10033682000,FALSE,666,2024-07-09 08:34:37.553604,2024-07-09 09:14:53.31109,2024-07-29 18:02:33.848833,"no","20240708_WFB_Plate_07_26_NPA",259,"26"
"573","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1118-2_NPA.raw",10080503699,FALSE,666,2024-07-09 09:37:29.37261,2024-07-09 16:29:27.069401,2024-07-29 17:15:36.793833,"no","20240708_WFB_Plate_07_1118-2_NPA",260,"1118.2"
"591","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1175_NPA.raw",9252588510,FALSE,666,2024-07-09 11:37:51.138523,2024-07-10 10:44:36.726431,2024-07-29 17:43:42.281023,"no","20240708_WFB_Plate_07_1175_NPA",261,"1175"
"597","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_2_NPA.raw",10215806306,FALSE,666,2024-07-09 12:40:43.247513,2024-07-10 10:43:09.415836,2024-07-29 18:05:49.391106,"no","20240708_WFB_Plate_07_2_NPA",262,"2"
"603","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_21_NPA.raw",10502884185,FALSE,666,2024-07-09 13:43:35.357792,2024-07-10 10:41:39.847324,2024-07-29 17:59:25.970959,"no","20240708_WFB_Plate_07_21_NPA",263,"21"
