"","Sample","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","Set","Observation"
"44","1037","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1037_NPB.raw",11306896850,FALSE,666,2024-07-28 17:12:18.640633,2024-07-30 00:36:13.018604,2024-08-05 12:45:39.565334,"no","20240726_WFB_Plate_08_1037_NPB","PASC",""
"45","1038","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1038_NPB.raw",9717102485,FALSE,666,2024-07-24 00:10:05.276524,2024-07-25 14:01:29.983185,2024-08-02 12:06:25.168056,"no","20240721_WFB_Plate_10_1038_NPB","PASC",""
"46","1039","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1039_NPB.raw",9698080423,FALSE,666,2024-07-07 22:41:30.629955,2024-07-08 09:46:02.459196,2024-07-30 04:33:11.584793,"no","20240704_WFB_Plate_06_1039_NPB","PASC",""
"47","1039-2","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1039-2_NPB.raw",7291881069,FALSE,666,2024-06-19 04:00:40.129194,2024-06-19 10:10:16.546865,2024-07-29 20:30:09.687811,"no","20240615_WFB_Plate_02_1039-2_NPB","PASC_fu",""
"48","1040","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240615_Plate_02/Samples/20240615_WFB_Plate_02_1040_NPB.raw",6199314100,FALSE,666,2024-06-19 10:09:19.009083,2024-06-20 09:21:10.003181,2024-07-29 20:32:30.170418,"no","20240615_WFB_Plate_02_1040_NPB","PASC",""
"49","1040-2","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/Samples/20240620_WFB_Plate_03_1040-2_NPB.raw",8599012992,FALSE,666,2024-06-24 20:14:14.373375,2024-06-25 17:00:37.194561,2024-07-29 22:21:54.261738,"no","20240620_WFB_Plate_03_1040-2_NPB","PASC_fu",""
"50","1041","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1041_NPB.raw",7627481815,FALSE,666,2024-06-14 22:41:27.351423,2024-06-15 18:05:48.992737,2024-07-29 19:07:12.349199,"no","20240612_WFB_Plate_01_1041_NPB","PASC",""
"51","1042","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1042_NPB.raw",10351251216,FALSE,666,2024-07-07 14:19:09.041939,2024-07-08 09:57:35.557634,2024-07-30 04:36:17.2019,"no","20240704_WFB_Plate_06_1042_NPB","PASC",""
"52","1043","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1043_NPB.raw",9561599257,FALSE,666,2024-07-10 17:54:57.996468,2024-07-11 10:01:12.896606,2024-07-29 16:45:52.777925,"no","20240708_WFB_Plate_07_1043_NPB","PASC",""
"53","1044","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1044_NPB.raw",9667138071,FALSE,666,2024-07-20 22:56:07.287725,2024-07-21 17:42:53.465899,2024-08-02 12:42:39.431278,"no","20240716_WFB_Plate_09_1044_NPB","PASC",""
"54","1046","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/Samples/20240630_WFB_Plate_05_1046_NPB.raw",8165820937,FALSE,666,2024-07-03 13:11:24.333479,2024-07-04 09:26:38.259378,2024-07-30 02:31:03.625942,"no","20240630_WFB_Plate_05_1046_NPB","PASC",""
"55","1047","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/Samples/20240630_WFB_Plate_05_1047_NPB.raw",8082056393,FALSE,666,2024-07-02 13:15:03.878937,2024-07-02 23:07:55.800734,2024-07-30 02:35:47.241356,"no","20240630_WFB_Plate_05_1047_NPB","PASC",""
"56","1048","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1048_NPB.raw",7841423823,FALSE,666,2024-06-15 15:13:37.068836,2024-06-15 17:50:05.753445,2024-07-29 19:09:24.793531,"no","20240612_WFB_Plate_01_1048_NPB","PASC","Cloudy"
