"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"269","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_QC_01.raw",9161298388,FALSE,666,2024-06-20 15:50:39.988541,2024-06-20 15:55:57.587318,2024-07-29 22:02:59.087734,"no","20240620_WFB_Plate_03_QC_01",11,"Plate_03_QC_01"
"270","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_QC_02.raw",7383422327,FALSE,666,2024-06-22 02:33:48.246262,2024-06-22 09:37:07.815893,2024-07-29 22:04:26.068478,"no","20240620_WFB_Plate_03_QC_02",12,"Plate_03_QC_02"
"271","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_QC_03.raw",7091985326,FALSE,666,2024-06-23 13:02:08.150482,2024-06-23 21:46:32.872959,2024-07-29 22:05:35.997681,"no","20240620_WFB_Plate_03_QC_03",13,"Plate_03_QC_03"
"272","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_QC_04.raw",6725840070,FALSE,666,2024-06-24 10:51:01.097954,2024-06-24 15:01:51.530802,2024-07-29 22:06:43.302629,"no","20240620_WFB_Plate_03_QC_04",14,"Plate_03_QC_04"
"273","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_QC_04_Extra.raw",9635092885,FALSE,666,2024-06-25 11:49:13.345358,2024-06-25 16:54:08.245218,2024-07-29 22:07:46.878386,"no","20240620_WFB_Plate_03_QC_04_Extra",15,"Plate_03_QC_04"
"274","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/QCs/20240620_WFB_Plate_03_QC_05.raw",7481363637,FALSE,666,2024-06-26 00:43:45.79863,2024-06-26 08:53:17.038801,2024-07-29 22:09:17.808941,"no","20240620_WFB_Plate_03_QC_05",16,"Plate_03_QC_05"
"361","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_QC_01.raw",9007321897,FALSE,666,2024-06-26 12:47:46.057495,2024-06-26 13:21:51.745859,2024-07-29 23:59:13.377897,"no","20240626_WFB_Plate_04_QC_01",17,"Plate_04_QC_01"
"362","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_QC_02.raw",7824345256,FALSE,666,2024-06-27 10:38:28.96216,2024-06-27 13:50:57.101999,2024-07-30 00:00:40.12443,"no","20240626_WFB_Plate_04_QC_02",18,"Plate_04_QC_02"
"363","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_QC_03.raw",7624456136,FALSE,666,2024-06-28 08:28:48.840014,2024-06-28 09:21:26.10154,2024-07-30 00:01:58.476049,"no","20240626_WFB_Plate_04_QC_03",19,"Plate_04_QC_03"
"364","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/QCs/20240626_WFB_Plate_04_QC_04.raw",6481673665,FALSE,666,2024-06-29 06:19:09.781107,2024-06-29 09:29:43.943935,2024-07-30 00:03:13.306612,"no","20240626_WFB_Plate_04_QC_04",20,"Plate_04_QC_04"
